"id","park_name","address","type","fees","lights","indoor","courts"
160,"John Muir High School","1905 Lincoln Ave, Pasadena","Public","No","No","No","10"
164,"Washington Park","700 E Washington Blvd, Pasadena","Public","No","Yes","No","2"
166,"Oakmont View Park","2940 Oakmont View Dr, Glendale","Public","No","Yes","No","2"
170,"Montrose Community Park","3529 Clifton Pl, Glendale","Public","No","Yes","No","2"
173,"Rowley Memorial Park","13220 Van Ness Avenue, Gardena","Public","No","Yes","No","4"
174,"Burbank Tennis Center","1515 Glenoaks Blvd, Burbank","Public","Yes","No","No","12"
176,"Mar Vista Recreation Center","11430 Woodbine St, Los Angeles","Public","No","No","No","6"
180,"Eaton Blanche Park","3100 E Del Mar Blvd, Pasadena","Public","No","Yes","No","2"
181,"Hawthorne Memorial Park","3901 W El Segundo Blvd, Hawthorne","Public","No","Yes","No","3"
183,"North Hollywood Recreation Center","5301 Tujunga Ave, North Hollywood","Public","No","Yes","No","5"
185,"Rosecrans Recreation Center","840 W 149th Street, Los Angeles","Public","No","No","No","1"
187,"East Rancho Dominguez Park","15116 S Atlantic Ave, East Compton","Public","No","Yes","No","2"
189,"South El Monte Community Center","1530 Central Ave, South El Monte","Public","No","Yes","No","2"
192,"Victory Park","2575 Paloma St, Pasadena","Public","No","No","No","10"
193,"Loma Alta Park","670 W Loma Alta Dr, Altadena","Public","No","Yes","No","4"
195,"Independence Park Tennis Center","12334 Bellflower Blvd, Downey","Public","Yes","Yes","No","8"
201,"Palm Park Tennis Center","5703 Palm Ave, Whittier","Public","Yes","Yes","No","7"
202,"Westwood Tennis Center","1350 S Sepulveda Blvd, Los Angeles","Public","Yes","Yes","No","8"
203,"Jim Thorpe Park","14100 S Prairie Ave, Hawthorne","Public","No","Yes","No","2"
204,"Studio City Recreation Center","12621 Rye St, Studio City","Public","No","No","No","4"
208,"Glen Alla Park","4601 Alla Rd, Los Angeles","Public","No","Yes","No","2"
211,"Los Angeles Tennis Center","420 Charles E Young Dr W, Los Angeles","Public","Yes","Yes","No","8"
212,"Live Oak Park","10144 Bogue St, Arcadia","Public","No","Yes","No","7"
213,"Vernon M Hemingway Memorial Park","700 E Gardena Blvd, Carson","Public","No","Yes","No","2"
214,"B George H Freeman Memorial Park","2100 W 154th Place, Gardena","Public","No","Yes","No","1"
215,"Del Aire Park","12601 S Isis Avenue, Hawthorne","Public","No","Yes","No","4"
219,"The Sports Park","13196 Bluff Creek Dr, Los Angeles","Public","No","No","No","2"
